,AOI dwell number,AOI fixation number,Mode,Participant,File,Mean AOI dwell time (mcs),Mean AOI fixation time (mcs),Mean fixation time (mcs),Total AOI fixation time (mcs),Total fixation number,Total fixation time (mcs)
0,11.7142857143,31.3571428571,faces,12,12-faces_19_49__31_10 Samples.txt,1218457.90243,435621.941702,352178.121301,14486624.8571,80.5,25137434.6429
1,14.6428571429,44.8571428571,facenoise,12,12-facesnoise_20_02__31_10 Samples.txt,617917.302504,234060.544242,222466.126273,9944919.85714,108.285714286,22519007.4286
2,11.8571428571,35.6428571429,letters,12,12-letters_19_36__31_10 Samples.txt,1609333.44989,514943.393765,448079.25636,17843025.2857,67.1428571429,28707797.2143
3,13.9285714286,43.4285714286,noise,12,12-noise_20_15__31_10 Samples.txt,829625.750944,301768.463212,283074.205587,12665993.1429,96.5714285714,24962603.1429
4,13.2857142857,29.1428571429,faces,13,13-faces_15_10__01_11 Samples.txt,508252.99745,254949.525883,247225.799191,7651475.28571,97.6428571429,24213174
5,7.14285714286,18.2142857143,facenoise,13,13-facesnoise_14_42__01_11 Samples.txt,1389143.7943,638556.912099,553190.776205,8877429.28571,60.9285714286,27183949.9286
6,0.928571428571,1.14285714286,letters,13,13-letters_14_55__01_11 Samples.txt,65750.5952381,160685.177778,219447.184602,225850.785714,104.285714286,21359847.7857
7,10.8571428571,21.2142857143,noise,13,13-noise_15_24__01_11 Samples.txt,896500.14903,447481.55407,387925.577098,9279626,78.7857142857,27519364.6429
8,12.1428571429,30.5714285714,faces,14,14-faces_16_13__22_11 Samples.txt,1597258.99963,604695.041542,533277.897423,16534270.0714,61.6428571429,28576364.5
9,14.7142857143,57.3571428571,facenoise,14,14-facesnoise_15_32__22_11 Samples.txt,654116.574778,156436.322974,141102.624163,10336169.7857,128.071428571,18437407.8571
10,9.64285714286,25.8571428571,letters,14,14-letters_15_46__22_11 Samples.txt,2295723.80265,864044.223903,697847.154826,17961055.3571,51.7142857143,29053488.1429
11,10.8571428571,26.7142857143,noise,14,14-noise_16_00__22_11 Samples.txt,2482390.38228,722169.736125,576896.941778,18234120.7857,57.7142857143,29015401.2857
12,12.0714285714,32.2142857143,faces,15,15-faces_16_17__25_11 Samples.txt,1709636.76198,587698.263406,489737.302109,17783167.0714,64.2142857143,29531950.2143
13,15.5714285714,50.7857142857,facenoise,15,15-facesnoise_15_59__25_11 Samples.txt,1222565.14747,326943.801392,312001.089117,15900932.1429,99.4285714286,28853296.2857
14,11,24.5714285714,letters,15,15-letters_15_46__25_11 Samples.txt,674280.110204,331163.313991,457288.78597,7408154.78571,83.2857142857,29056666.5
